u0;aoa;delta_SS;delta_PS
33;1.56;0.0168265908;0.014547707100000001
33;-9.24;0.009679383;0.0404228295
33;9.16;0.0400744143;0.0097557147
33;3.41;0.0189501804;0.013364406
33;-3.49;0.0132658353;0.019075701599999998
33;-5.36;0.0121615317;0.0239471802
33;-11.21;0.008266241700000001;0.050192814599999996
33;5.29;0.0236112858;0.0121815747
33;-7.3;0.010930143600000001;0.0330817977
33;0.04;0.0154576881;0.015641886600000002
33;11.14;0.0495666414;0.00837004284
33;7.22;0.032560709400000006;0.0110135286
33;-1.63;0.014395248000000001;0.0169799463
50;1.56;0.0156215817;0.0134047827
50;9.14;0.0365813055;0.009184428
50;5.28;0.0236554227;0.011311906500000002
50;-11.18;0.00797422113;0.044627930100000004
50;-5.34;0.0112753647;0.0239750442
50;-1.62;0.0133288047;0.0157226319
50;11.09;0.044094550499999996;0.008061377940000001
50;-3.45;0.0122916528;0.0180424881
50;-9.22;0.009112608;0.0368995689
50;7.2;0.0309612447;0.0102974553
50;0.04;0.0143621001;0.0144819909
50;3.39;0.0178914582;0.0123677928
50;-7.28;0.0101951352;0.0312361695
66;3.38;0.0175116798;0.0118321542
66;-11.14;0.00776185281;0.0417797316
66;-3.43;0.0117620982;0.017721150300000002
66;0.03;0.0137812491;0.0138477852
66;-7.25;0.009799605900000001;0.0299370339
66;-9.18;0.00879406641;0.0349532622
66;-5.33;0.0107597385;0.0237407445
66;5.27;0.0234979425;0.0108451755
66;1.55;0.015004113299999998;0.0127962792
66;7.18;0.0297203544;0.009841870800000001
66;11.06;0.0413072658;0.007838148690000001
66;-1.61;0.012766724100000001;0.0150447186
66;9.11;0.0346894767;0.00887214789
80;-3.41;0.0114856362;0.0177299856
80;-11.1;0.0076110523200000006;0.0402826914
80;5.24;0.0232050231;0.010543510800000001
80;9.08;0.0334694799;0.00865542537
80;0.03;0.0134077536;0.0134946819
80;7.15;0.028975352399999998;0.0096069285
80;3.35;0.0173983635;0.011504896200000002
80;-7.22;0.0095206077;0.029045754
80;11.02;0.0398813571;0.007674924960000001
80;-5.31;0.0105122871;0.023463513000000002
80;-1.59;0.0124140528;0.0146804328
80;1.53;0.014569958700000002;0.0124794774
80;-9.15;0.00861674139;0.0338579019
